lambda,LED,Blue,Green,Red,Diffuser,Polarizer,BS,Mirror,Lens-4,Lens-3,Lens-2,Lens-1,UV/IR,,Blue,Green,Red
400,0.03358208955,0.177238806,0.02985074627,0.04850746269,0.790257581,1,0.5238241196,0.9978661,0.93,0.91,0.97,0.96,0.93,,0.001797859181,0.0003027973358,0.0004920456706
410,0.0223880597,0.2574626866,0.03544776119,0.03544776119,0.7957960768,1,0.5047335816,0.9990453,0.95,0.94,0.98,0.97,0.93,,0.001810037423,0.000249208051,0.000249208051
420,0.07089552239,0.2817164179,0.04104477612,0.02985074627,0.801041795,1,0.4910031891,0.9983022,0.96,0.95,0.98,0.98,0.91,,0.006333790459,0.000922803908,0.0006711301149
430,0.1865671642,0.3171641791,0.03917910448,0.02425373134,0.8060055715,1,0.4885464287,0.9991455,0.97,0.96,0.99,0.99,0.93,,0.01955668379,0.002415825644,0.001495511113
440,0.447761194,0.3470149254,0.04850746269,0.01492537313,0.8106980449,1,0.4894047737,0.9985411,0.97,0.96,0.99,0.99,0.91,,0.05126609644,0.007166228534,0.002204993395
450,0.8582089552,0.3358208955,0.0578358209,0.01305970149,0.8151296564,1,0.4903081894,0.9984388,0.97,0.97,0.99,0.99,0.93,,0.09798826929,0.01687575749,0.003810654917
460,0.9365671642,0.348880597,0.06156716418,0.01305970149,0.8193106494,1,0.4925849152,0.999039,0.97,0.97,0.99,0.99,0.94,,0.1147806626,0.02025541104,0.004296602342
470,0.6679104478,0.3694029851,0.08955223881,0.01679104478,0.8232510703,1,0.4954739571,0.9986367,0.98,0.97,0.99,0.99,0.95,,0.08858715285,0.02147567342,0.004026688766
480,0.5223880597,0.3302238806,0.1231343284,0.02052238806,0.8269607679,1,0.4988900185,0.9976511,0.98,0.97,0.99,0.99,0.96,,0.06345635532,0.02366169181,0.003943615302
490,0.4962686567,0.3078358209,0.1865671642,0.02798507463,0.8304493934,1,0.5012446213,0.9954521,0.98,0.98,0.99,0.99,0.96,,0.05667785146,0.03435021301,0.005152531951
500,0.5485074627,0.2798507463,0.2611940299,0.03731343284,0.8337264007,1,0.5037418938,0.9911023,0.98,0.98,0.99,0.99,0.97,,0.05778352766,0.05393129248,0.007704470355
510,0.5671641791,0.1940298507,0.3264925373,0.0447761194,0.8368010464,1,0.507002697,0.9901543,0.98,0.98,0.99,0.99,0.96,,0.04161307039,0.07002199345,0.009603016245
